Datum;MengeKum;Einheit;Preis;Produkt;Umsatz;Bestand_Einheit;Bestand_Preis
12/02/2016;-1.632;Kilo;2.50;Sonnenblumenkerne;-4.08;2.458;6.15
13/02/2016;-5.800;Kilo;1.54;Haferflocken;-8.93;0.064;0.10
13/02/2016;-6.428;Liter;8.50;Olivenöl;-54.64;13.692;116.38
13/02/2016;-5.522;Kilo;3.36;weißer Basmati;-18.55;3.519;11.82
13/02/2016;-2.400;Kilo;2.29;Kichererbsen;-5.50;0.083;0.19
13/02/2016;-2.828;Kilo;2.29;Spaghetti semoltano;-6.48;0.000;-0.00
13/02/2016;-0.134;Kilo;126.26;Getrocknete Paprika;-16.92;1.002;126.51
13/02/2016;-1.620;Kilo;3.15;Arborio Reis;-5.10;7.349;23.15
13/02/2016;0.785;Liter;5.39;Back-/Bratöl, EU;4.23;0.000;0.00
13/02/2016;0.736;Kilo;4.60;Beluglinsen;3.39;19.880;91.45
13/02/2016;0.012;Kilo;3.80;Borlottibohnen;0.05;3.058;11.62
13/02/2016;-0.778;Kilo;3.40;Braunhirse;-2.65;12.720;43.25
13/02/2016;-3.728;Kilo;3.40;Buchweizen;-12.68;4.227;14.37
13/02/2016;0.308;Kilo;2.29;Couscous;0.71;11.434;26.18
13/02/2016;-4.262;Kilo;2.00;Dinkel;-8.52;8.196;16.39
13/02/2016;-19.000;Stück;1.63;Dinkel Drink;-30.97;63.000;102.69
13/02/2016;0.022;Kilo;34.99;Getrocknete Äpfel;0.77;-0.000;-0.00
13/02/2016;-4.600;Kilo;1.93;Goldhirse;-8.88;0.038;0.07
13/02/2016;-0.764;Kilo;2.10;Hafer;-1.60;30.016;63.03
13/02/2016;-16.000;Stück;1.49;Hafer Drink;-23.84;53.000;78.97
13/02/2016;0.864;Kilo;1.20;Roggen;1.04;36.776;44.13
13/02/2016;-2.008;Kilo;2.45;Rohrohrzucker;-4.92;6.357;15.57
13/02/2016;-1.658;Kilo;3.04;Rote Linsen;-5.04;2.686;8.17
13/02/2016;0.698;Kilo;4.00;Sesam;2.79;15.582;62.33
13/02/2016;-18.000;Stück;1.49;Soja Drink;-26.82;18.000;26.82
13/02/2016;0.950;Kilo;2.50;Sonnenblumenkerne;2.38;3.408;8.52
13/02/2016;0.208;Kilo;4.50;Tellerlinsen;0.94;17.160;77.22
13/02/2016;-2.100;Kilo;3.95;Weinbeeren;-8.30;0.070;0.28
13/02/2016;-2.220;Kilo;1.26;Weizen;-2.80;28.270;35.62
13/02/2016;0.526;Kilo;2.93;brauner Basmati;1.54;0.000;-0.00
14/02/2016;-2.156;Kilo;3.40;Buchweizen;-7.33;2.071;7.04
14/02/2016;-0.454;Kilo;2.29;Couscous;-1.04;10.980;25.14
14/02/2016;-0.062;Kilo;126.26;Getrocknete Paprika;-7.83;0.940;118.68
14/02/2016;-1.720;Kilo;2.45;Rohrohrzucker;-4.21;4.637;11.36
14/02/2016;-0.552;Kilo;3.04;Rote Linsen;-1.68;2.134;6.49
14/02/2016;-1.108;Kilo;4.50;Tellerlinsen;-4.99;16.052;72.23
14/02/2016;-0.542;Kilo;3.36;weißer Basmati;-1.82;2.977;10.00
14/02/2016;-0.076;Kilo;36.00;Koriander Ganz;-2.74;0.891;32.08
14/02/2016;-0.096;Kilo;36.00;Kreuzkümmel Ganz;-3.46;0.843;30.35
14/02/2016;-1.100;Kilo;2.50;Sonnenblumenkerne;-2.75;2.308;5.77
14/02/2016;-0.500;Kilo;12.00;Sonnenblütenhonig;-6.00;18.976;227.71
14/02/2016;-0.149;Kilo;40.00;Bockshornklee Ganz;-5.96;0.635;25.40
14/02/2016;-0.073;Kilo;40.00;Kurkuma Gemahlen;-2.92;0.819;32.76
14/02/2016;-0.136;Kilo;30.00;Senfkörner Ganz;-4.08;0.719;21.57
14/02/2016;-0.098;Kilo;40.00;Zimt Gemahlen;-3.92;0.902;36.08
14/02/2016;-0.100;Kilo;45.00;Pfeffer Schwarz Ganz;-4.50;3.231;145.40
15/02/2016;-0.428;Kilo;3.15;Arborio Reis;-1.35;6.921;21.80
15/02/2016;-1.000;Stück;1.63;Dinkel Drink;-1.63;62.000;101.06
